country,countryiso3code,education_expenditure_2015,education_expenditure_2016,education_expenditure_2017,education_expenditure_2018,education_expenditure_2019,education_expenditure_2020,education_expenditure_2021,education_expenditure_2022,exports_2015,exports_2016,exports_2017,exports_2018,exports_2019,exports_2020,exports_2021,exports_2022,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017,gdp_per_capita_2018,gdp_per_capita_2019,gdp_per_capita_2020,gdp_per_capita_2021,gdp_per_capita_2022,health_expenditure_2015,health_expenditure_2016,health_expenditure_2017,health_expenditure_2018,health_expenditure_2019,health_expenditure_2020,health_expenditure_2021,infant_mortality_rate_2015,infant_mortality_rate_2016,infant_mortality_rate_2017,infant_mortality_rate_2018,infant_mortality_rate_2019,infant_mortality_rate_2020,infant_mortality_rate_2021,infant_mortality_rate_2022,inflation_rate_2015,inflation_rate_2016,inflation_rate_2017,inflation_rate_2018,inflation_rate_2019,inflation_rate_2020,inflation_rate_2021,inflation_rate_2022,life_expectancy_2015,life_expectancy_2016,life_expectancy_2017,life_expectancy_2018,life_expectancy_2019,life_expectancy_2020,life_expectancy_2021,life_expectancy_2022,pm25_air_pollution_2015,pm25_air_pollution_2016,pm25_air_pollution_2017,pm25_air_pollution_2018,pm25_air_pollution_2019,pm25_air_pollution_2020,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,undernourishment_rate_2015,undernourishment_rate_2016,undernourishment_rate_2017,undernourishment_rate_2018,undernourishment_rate_2019,undernourishment_rate_2020,undernourishment_rate_2021,unemployment_rate_2015,unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
Argentina,ARG,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.7716498374939,5.27689981460571,4.64117002487183,4.80521011352539,63671789068.8987,69842604407.3878,72860557902.7631,75766598613.0197,80259482469.139,64053810078.3073,87805815481.4708,102871975261.165,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,13789.060424772,12790.2641396135,14613.0356486571,11795.1627452798,9963.67416171662,8500.83793850534,10650.8604604345,13650.6046294524,1525.05310059,1258.3079834,1494.83605957,1216.10681152,1016.23083496,895.08465576,1044.77270508,10.5,10.1,9.8,9.5,9.2,8.9,8.6,8.4,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,14.6245514656634,14.2700594540808,13.9690174802422,14.1850800443346,14.3996238920365,14.9081737974407,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830,2.7,2.9,3.3,3.4,3.4,3.3,3.2,7.58,8.083,8.347,9.221,9.843,11.461,8.736,6.805
Armenia,ARM,2.80591011047363,2.75812005996704,2.70759010314941,2.25586795806885,2.57191228866577,2.70555996894836,2.7678499221801798,2.4918999671936,3137020863.27486,3558717725.79882,4405338883.1041,4907543376.02549,5631685777.79462,3762799929.1522,4983421998.13407,9759400463.65368,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,3666.14182210905,3679.95234740376,4041.99507105058,4391.92326991474,4828.50488626598,4505.86774175695,4972.78320361917,7018.05150434798,371,366,419,439,549,552,613,12.9,12.3,11.7,11.1,10.6,10.1,9.6,9.2,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,8.64091108973855,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,38.1148586893988,35.8609078798257,34.0153569947094,34.201366074335,32.6618235324139,30.5796334750125,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2.5,2.5,2.5,2.5,2.5,2.5,2.5,12.468,12.732,12.968,13.212,12.2,12.18,10.012,8.608
Aruba,ABW,5.88826990127563,5.49136018753052,4.45618057250977,4.54875898361206,4.43504333496094,4.43504333496094,4.43504333496094,4.43504333496094,2158564245.81006,2142859776.53631,2243516759.77654,2367134078.21229,2486899441.34078,1415761229.05028,2143360223.46369,2946524357.5419,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,28419.2645344661,28449.7129463044,29329.0817465959,30918.483584133,31902.8098183195,24008.1278217477,29127.7593841909,33300.8388187011,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,4.25746204335428,4.25746204335428,4.25746204335428,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,104257,104874,105439,105962,106442,106585,106537,106445,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586
Australia,AUS,5.46285820007324,5.43038558959961,5.32125568389893,5.40967607498169,5.50858879089355,5.37828016281128,5.33320999145508,5.20677661895752,271139524648.254,232606961291.863,281677500416.683,312447679285.648,336280198453.879,318857503698.674,342626032843.509,430470188137.656,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,56758.8692027821,49918.7939327254,53954.553494614,57273.5204750079,55049.571919719,51868.2475567823,60697.2454358579,65077.676668821,5322.97119141,5453.92480469,5813.61376953,5857.28808594,5545.91064453,5958.765625,7055.36816406,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,7.18466162026884,7.20069562395068,7.4285359593217,7.74121920379958,9.33099031566264,8.25171746070811,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.701
Austria,AUT,5.45658016204834,5.4796199798584,5.37159013748169,5.22655010223389,5.21779012680054,5.57126998901367,5.49411010742188,4.77447128295898,202784894360.508,207444081442.658,225534464183.706,252348201943.937,247910305740.156,224419959324.063,268174561561.779,292375700457.141,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372,4613,4710,4939,5337,5263,5567,6505,3.1,3,3,2.9,2.9,2.8,2.7,2.6,0.89656333526032,0.891591752655362,2.08126911385587,1.9983798142954,1.53089564152644,1.38191063351862,2.7666666666667,8.5468699318845,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.0926829268293,13.5999635409,12.5143795701306,12.1557592255042,12.5861934480679,11.4645937760057,10.9335136815146,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992
Azerbaijan,AZE,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,3.1764600276947,4.33204984664917,3.7020800113678,3.04690003395081,20060045053.3105,17580756547.8197,19839874967.6816,25484215746.0778,23629764705.8824,15208764705.8824,25487647058.8235,47274117647.0588,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,234,168,165,178,197,243,249,23.6,22,20.6,19.4,18.4,17.6,16.8,16.1,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,13.8522590144267,71.451,72.004,72.248,72.76,73.102,66.868,69.366,73.488,25.1867220505416,24.3527968807853,23.2421881518978,23.2360923544978,22.023834941184,21.7269999756599,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.96,5,5,4.9,5,7.24,6.04,5.65
"Bahamas, The",BHS,2.29697513580322,2.58660674095154,2.69140648841858,2.48519492149353,2.6171863079071,3.7900116443634,3.00693249702454,2.83657622337341,4241300000,3901400000,3950200000,4521500000,4629100000,2413900000,3353500000,5179300000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,29722.4068429349,29661.1410792573,30666.8838654704,31389.9269978552,32173.9581814182,24499.1647620617,27871.3723259771,32041.2503902591,1558.79882813,1698.39001465,2076.14160156,1898.81311035,1898.85632324,1824.87536621,1961.67785645,12,11.9,11.8,11.7,15.4,11.5,11.3,11.2,1.86148302863371,-0.346376929989397,1.51820700736147,2.26586346678736,2.49123527368046,0.0385210980054558,2.90491262928478,5.60540633583044,73.104,73.537,73.632,73.806,71.205,72.677,71.598,74.358,19.1256311837319,18.49778336767,18.3612464143857,18.5796799431178,18.5659528939643,18.9393918728687,392697,395976,399020,401906,404557,406471,407906,409984,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,12,12.7,9.8,10,10.011,12.804,11.694,9.87
Bahrain,BHR,2.66808009147644,2.80248284339905,2.32781004905701,2.38893985748291,2.38460445404053,2.55237460136414,2.22135806083679,1.98779726028442,25805319148.9362,23918617021.2766,26881914893.617,29959042553.1915,29564361702.1277,25249202127.6596,35234574468.0851,35234574468.0851,31125851063.8298,32250132978.7234,35423643617.0213,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404,22850.6653959938,22877.9351764172,24315.4975906804,25415.8466249472,25869.1129129041,23433.1872362574,26850.0033915702,30146.925026365,1134.46166992,1111.42993164,1098.74328613,1049.0612793,1024.39050293,1105.3248291,1146.47277832,6.5,6.4,6.2,6.1,6,5.9,5.7,5.6,1.84862742374977,2.78679347602044,1.38671830576406,2.08766938046978,1.00582004702137,-2.31770629331379,-0.60631938514085,3.62574104304482,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246,71.5594978371491,64.2193035294402,61.237494601176,71.8872328410934,59.9655174851019,58.4950629834781,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,1.166,1.195,1.196,1.202,1.226,1.767,1.551,1.326
Bangladesh,BGD,1.87225413322449,2.22119998931885,1.85040032863617,1.65589129924774,1.68138802051544,1.76528060436249,1.83117997646332,1.71183669567108,33831930824.4698,36922447019.7655,37655756243.1882,40732047238.7819,45992932926.7723,39053880590.2555,44386125344.9789,59275206064.019,195146607942.291,265224514652.992,293732447017.328,321362751137.574,351231655150.827,373979442653.343,416271647002.435,460131688909.301,1236.4354555046,1659.88817301175,1815.47222007199,1963.31244102476,2122.03765230231,2233.76728192962,2457.96446570157,2687.89906307087,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,57.93856812,31.4,30.1,28.9,27.8,26.7,25.7,24.9,24.1,6.19428022984984,5.51352572692995,5.70207015717239,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698,64.1084295201163,63.6784141329752,58.3439766448258,59.513577848333,50.3645265388691,42.3813762359965,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,14.8,14.3,13.6,12.7,11.8,11.7,11.2,4.382,4.35,4.372,4.532,4.693,5.828,5.815,5.247
Barbados,BRB,5.17699909210205,4.68382978439331,4.34997987747192,5.13313722610474,4.0863299369812,4.16860008239746,4.863609790802,4.41624021530151,1892295050,1765692250,1781072150,2105486600,2242258300,1395725450,1494848050,2002299850,4738650450,4848210350,5000457800,5128345200,5367139250,4779756550,4945276000,5840673700,17040.4176091311,17398.9870769319,17910.7830952014,18335.9500586368,19156.0398672282,17028.4137830299,17586.3300142247,20738.4511868198,1158.39306641,1185.16308594,1186.16967773,1173.62854004,1172.40539551,1238.5871582,1400.43579102,12.4,12.1,11.7,11.4,11.1,10.7,10.4,10.1,-1.11278992510967,1.28192813061895,4.66018463955996,3.67381410406801,4.10028964518461,4.10028964518461,4.10028964518461,4.10028964518461,76.65,76.815,76.936,77.067,77.257,77.393,77.571,77.706,24.1787536225197,24.4150757393389,23.2878109296981,23.2651852221243,23.3255430894091,23.7309657842996,278083,278649,279187,279688,280180,280693,281200,281635,2.5,2.6,2.6,2.5,2.5,2.5,2.5,9.803,8.247,8.622,8.322,8.413,9.756,9.417,8.493
